sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,neutral,0,frame_0000.png,112
2,20185,101,112,neutral,1,frame_0002.png,112
4,20187,106,112,neutral,2,frame_0004.png,112
6,20189,111,112,neutral,3,frame_0006.png,112
8,20191,116,112,neutral,4,frame_0008.png,112
10,20193,121,112,neutral,5,frame_0010.png,112
12,20195,126,112,neutral,6,frame_0012.png,112
14,20197,131,112,neutral,7,frame_0014.png,112
16,20199,136,112,neutral,8,frame_0016.png,112
18,20201,141,112,neutral,9,frame_0018.png,112
20,20203,146,112,neutral,10,frame_0020.png,112
22,20205,151,112,neutral,11,frame_0022.png,112
24,20207,156,112,neutral,12,frame_0024.png,112
26,20209,161,112,neutral,13,frame_0026.png,112
28,20211,166,112,neutral,14,frame_0028.png,112
30,20213,171,112,neutral,15,frame_0030.png,112
32,20215,176,112,neutral,16,frame_0032.png,112
34,20217,181,112,neutral,17,frame_0034.png,112
36,20219,186,112,neutral,18,frame_0036.png,112
38,20221,191,112,neutral,19,frame_0038.png,112
40,20223,196,112,neutral,20,frame_0040.png,112
42,20225,201,112,neutral,21,frame_0042.png,112
44,20227,206,112,neutral,22,frame_0044.png,112
46,20229,211,112,neutral,23,frame_0046.png,112
48,20231,216,112,neutral,24,frame_0048.png,112
50,20233,221,112,neutral,25,frame_0050.png,112
52,20235,226,112,neutral,26,frame_0052.png,112
54,20237,231,112,neutral,27,frame_0054.png,112
56,20239,236,112,neutral,28,frame_0056.png,112
58,20241,239,112,neutral,29,frame_0058.png,112
60,20243,239,112,neutral,30,frame_0060.png,112
62,20245,239,112,neutral,31,frame_0062.png,112
64,20247,239,112,neutral,32,frame_0064.png,112
66,20249,239,112,neutral,33,frame_0066.png,112
68,20251,239,112,neutral,34,frame_0068.png,112
70,20253,239,112,neutral,35,frame_0070.png,112
72,20255,239,112,neutral,36,frame_0072.png,112
74,20257,239,112,neutral,37,frame_0074.png,112
76,20259,239,112,neutral,38,frame_0076.png,112
78,20261,239,112,neutral,39,frame_0078.png,112
80,20263,239,112,neutral,40,frame_0080.png,112
82,20265,239,112,neutral,41,frame_0082.png,112
84,20267,239,112,neutral,42,frame_0084.png,112
86,20269,239,112,neutral,43,frame_0086.png,112
88,20271,239,112,neutral,44,frame_0088.png,112
90,20273,239,112,neutral,45,frame_0090.png,112
92,20275,239,112,neutral,46,frame_0092.png,112
94,20277,239,112,neutral,47,frame_0094.png,112
96,20279,239,112,neutral,48,frame_0096.png,112
98,20281,239,112,neutral,49,frame_0098.png,112
100,20283,239,112,neutral,50,frame_0100.png,112
102,20285,239,112,neutral,51,frame_0102.png,112
104,20287,239,112,neutral,52,frame_0104.png,112
106,20289,239,112,neutral,53,frame_0106.png,112
108,20291,239,112,neutral,54,frame_0108.png,112
110,20293,239,112,neutral,55,frame_0110.png,112
112,20295,239,112,neutral,56,frame_0112.png,112
114,20297,239,112,neutral,57,frame_0114.png,112
116,20299,239,112,neutral,58,frame_0116.png,112
118,20301,239,112,neutral,59,frame_0118.png,112
120,20303,239,112,neutral,60,frame_0120.png,112
122,20305,239,112,neutral,61,frame_0122.png,112
124,20307,239,112,neutral,62,frame_0124.png,112
126,20309,239,112,neutral,63,frame_0126.png,112
128,20311,239,112,neutral,64,frame_0128.png,112
130,20313,239,112,neutral,65,frame_0130.png,112
132,20315,239,112,neutral,66,frame_0132.png,112
134,20317,239,112,neutral,67,frame_0134.png,112
136,20319,239,112,neutral,68,frame_0136.png,112
138,20321,239,112,neutral,69,frame_0138.png,112
140,20323,239,112,neutral,70,frame_0140.png,112
142,20325,239,112,neutral,71,frame_0142.png,112
144,20327,239,112,neutral,72,frame_0144.png,112
146,20329,239,112,neutral,73,frame_0146.png,112
148,20331,239,112,neutral,74,frame_0148.png,112
150,20333,239,112,neutral,75,frame_0150.png,112
