20183,0
20184,0
20185,0
20186,128
20187,128
20188,0
20189,0
20190,0
20191,0
20192,128
20193,128
20194,128
20195,128
20196,0
20197,0
20198,0
20199,0
20200,128
20201,128
20202,128
20203,128
20204,0
20205,0
20206,0
20207,0
20208,128
20209,128
20210,128
20211,128
20212,0
20213,0
20214,0
20215,0
20216,128
20217,128
20218,128
20219,128
20220,0
20221,0
20222,0
20223,0
20224,128
20225,128
20226,128
20227,128
20228,0
20229,0
20230,0
20231,0
20232,128
20233,128
20234,128
20235,128
20236,0
20237,0
20238,0
20239,0
20240,128
20241,128
20242,128
20243,128
20244,0
20245,0
20246,0
20247,0
20248,128
20249,128
20250,128
20251,128
20252,0
20253,0
20254,0
20255,0
20256,128
20257,128
20258,128
20259,128
20260,0
20261,0
20262,0
20263,0
20264,128
20265,128
20266,128
20267,128
20268,0
20269,0
20270,0
20271,0
20272,128
20273,128
20274,128
20275,128
20276,0
20277,0
20278,0
20279,0
20280,128
20281,128
20282,128
20283,128
20284,0
20285,0
20286,0
20287,0
20288,128
20289,128
20290,128
20291,128
20292,0
20293,0
20294,0
20295,0
20296,128
20297,128
20298,128
20299,128
20300,0
20301,0
20302,0
20303,0
20304,128
20305,128
20306,128
20307,128
20308,0
20309,0
20310,0
20311,0
20312,128
20313,128
20314,128
20315,128
20316,0
20317,0
20318,0
20319,0
20320,128
20321,128
20322,128
20323,128
20324,0
20325,0
20326,0
20327,0
20328,128
20329,128
20330,128
20331,128
20332,0
20333,0
20334,0
20335,0
20336,128
20337,128
20338,128
20339,128
20340,0
20341,0
20342,0
20343,0
20344,128
20345,128
20346,128
20347,128
20348,0
20349,0
20350,0
20351,0
20352,128
20353,128
20354,128
20355,128
20356,0
20357,0
20358,0
20359,0
20360,128
20361,128
20362,128
20363,128
20364,0
20365,0
20366,0
20367,0
20368,128
20369,128
20370,128
20371,128
20372,0
20373,0
20374,0
20375,0
20376,128
20377,128
20378,128
20379,128
20380,0
20381,0
20382,0
20383,0
20384,128
20385,128
20386,128
20387,128
20388,0
20389,0
20390,0
20391,0
20392,128
20393,128
20394,128
20395,128
20396,0
20397,0
20398,0
20399,0
20400,128
20401,128
20402,128
20403,128
20404,0
20405,0
20406,0
20407,0
20408,128
20409,128
20410,128
20411,128
20412,0
20413,0
20414,0
20415,0
20416,128
20417,128
20418,128
20419,128
20420,0
20421,0
20422,0
20423,0
20424,128
20425,128
20426,128
20427,128
20428,0
20429,0
20430,0
20431,0
20432,128
20433,128
20434,128
20435,128
20436,0
20437,0
20438,0
20439,0
20440,128
20441,128
20442,128
20443,128
20444,0
20445,0
20446,0
20447,0
20448,128
20449,128
20450,128
20451,128
20452,0
20453,0
20454,0
20455,0
20456,128
20457,128
20458,128
20459,128
20460,0
20461,0
20462,0
20463,0
20464,128
20465,128
20466,128
20467,128
20468,0
20469,0
20470,0
20471,0
20472,128
20473,128
20474,128
20475,128
20476,0
20477,0
20478,0
20479,0
20480,128
20481,128
20482,128
20483,128
20484,0
20485,0
20486,0
20487,0
20488,128
20489,128
20490,128
20491,128
20492,0
20493,0
20494,0
20495,0
20496,128
20497,128
20498,128
20499,128
20500,0
20501,0
20502,0
20503,0
20504,128
20505,128
20506,128
20507,128
20508,0
20509,0
20510,0
20511,0
20512,128
20513,128
20514,128
20515,128
20516,0
20517,0
20518,0
20519,0
20520,128
20521,128
20522,128
20523,128
20524,0
20525,0
20526,0
20527,0
20528,128
20529,128
20530,128
20531,128
20532,0
20533,0
20534,0
20535,0
20536,128
20537,128
20538,128
20539,128
20540,0
20541,0
20542,0
20543,0
20544,128
20545,128
20546,128
20547,128
20548,0
20549,0
20550,0
20551,0
20552,128
20553,128
20554,128
20555,128
20556,0
20557,0
20558,0
20559,0
20560,128
20561,128
20562,128
20563,128
20564,0
20565,0
20566,0
20567,0
20568,128
20569,128
20570,128
20571,128
20572,0
20573,0
20574,0
20575,0
20576,128
20577,128
20578,128
20579,128
20580,0
20581,0
20582,0
20583,0
20584,128
20585,128
20586,128
20587,128
20588,0
20589,0
20590,0
20591,0
20592,128
20593,128
20594,128
20595,128
20596,0
20597,0
20598,0
20599,0
20600,128
20601,128
20602,128
20603,128
20604,0
20605,0
20606,0
20607,0
20608,128
20609,128
20610,128
20611,128
20612,0
20613,0
20614,0
20615,0
20616,128
20617,128
20618,128
20619,128
20620,0
20621,0
20622,0
20623,0
20624,128
20625,128
20626,128
20627,128
20628,0
20629,0
20630,0
20631,0
20632,128
20633,128
20634,128
20635,128
20636,0
20637,0
20638,0
20639,0
20640,128
20641,128
20642,128
20643,128
20644,0
20645,0
20646,0
20647,0
20648,128
20649,128
20650,128
20651,128
20652,0
20653,0
20654,0
20655,0
20656,128
20657,128
20658,128
20659,128
20660,0
20661,0
20662,0
20663,4
20664,132
20665,132
20666,132
20667,132
20668,4
20669,4
20670,4
20671,4
20672,132
20673,132
20674,132
20675,132
20676,4
20677,4
20678,4
20679,4
20680,132
20681,132
20682,132
20683,132
20684,4
20685,4
20686,4
20687,4
20688,132
20689,132
20690,132
20691,132
20692,4
20693,0
20694,0
20695,0
20696,128
20697,128
20698,128
20699,128
20700,0
20701,0
20702,0
20703,0
20704,128
20705,128
20706,128
20707,128
20708,0
20709,0
20710,0
20711,0
20712,128
