sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
584,20767,0x16C0,$02:90F0,C8,214.0,184.0,True,frame_0584.png
584,20767,0x1700,$02:9274,E0,214.0,176.0,True,frame_0584.png
584,20767,0x1740,$02:90F0,C8,246.0,196.0,True,frame_0584.png
584,20767,0x1780,$02:9274,E0,246.0,188.0,True,frame_0584.png
586,20769,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0586.png
586,20769,0x10C0,$04:E6AF,C8,146.0,112.0,True,frame_0586.png
586,20769,0x1400,$04:FABA,C8,171.438,108.891,True,frame_0586.png
586,20769,0x16C0,$02:90F0,C8,212.0,184.0,True,frame_0586.png
586,20769,0x1700,$02:9274,E0,212.0,176.0,True,frame_0586.png
586,20769,0x1740,$02:90F0,C8,244.0,196.0,True,frame_0586.png
586,20769,0x1780,$02:9274,E0,244.0,188.0,True,frame_0586.png
588,20771,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0588.png
588,20771,0x10C0,$04:E6AF,C8,168.0,112.0,True,frame_0588.png
588,20771,0x1400,$04:FABA,C8,170.812,108.242,True,frame_0588.png
588,20771,0x16C0,$02:90F0,C8,210.0,184.0,True,frame_0588.png
588,20771,0x1700,$02:9274,E0,210.0,176.0,True,frame_0588.png
588,20771,0x1740,$02:90F0,C8,242.0,196.0,True,frame_0588.png
588,20771,0x1780,$02:9274,E0,242.0,188.0,True,frame_0588.png
590,20773,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0590.png
590,20773,0x10C0,$04:E6AF,C8,190.0,112.0,True,frame_0590.png
590,20773,0x1400,$04:FABA,C8,170.188,107.562,True,frame_0590.png
590,20773,0x16C0,$02:90F0,C8,208.0,184.0,True,frame_0590.png
590,20773,0x1700,$02:9274,E0,208.0,176.0,True,frame_0590.png
590,20773,0x1740,$02:90F0,C8,240.0,196.0,True,frame_0590.png
590,20773,0x1780,$02:9274,E0,240.0,188.0,True,frame_0590.png
592,20775,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0592.png
592,20775,0x10C0,$04:E6AF,C8,212.0,112.0,True,frame_0592.png
592,20775,0x1400,$04:FABA,C8,169.562,106.852,True,frame_0592.png
592,20775,0x16C0,$02:90F0,C8,206.0,184.0,True,frame_0592.png
592,20775,0x1700,$02:9274,E0,206.0,176.0,True,frame_0592.png
592,20775,0x1740,$02:90F0,C8,238.0,196.0,True,frame_0592.png
592,20775,0x1780,$02:9274,E0,238.0,188.0,True,frame_0592.png
594,20777,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0594.png
594,20777,0x1080,$04:E6AF,C8,102.0,112.0,True,frame_0594.png
594,20777,0x10C0,$04:E6AF,C8,234.0,112.0,True,frame_0594.png
594,20777,0x1400,$04:FABA,C8,168.938,106.109,True,frame_0594.png
